欠压160V,欠压180V,欠压200V,正常220V,老化10Ω,老化50Ω,线圈卡涩,过压240V
4.52667 ,5.29000 ,5.80667 ,5.96667 ,5.74667 ,5.20667 ,6.98000 ,5.90000 
4.49667 ,5.28667 ,5.80333 ,5.88333 ,5.67000 ,5.28000 ,6.91333 ,5.90667 
4.50667 ,5.29667 ,5.80333 ,5.98000 ,5.70667 ,5.23000 ,6.86667 ,5.88000 
4.51333 ,5.26667 ,5.82000 ,6.04000 ,5.71667 ,5.23667 ,6.95667 ,5.93667 
4.53000 ,5.28667 ,5.82667 ,6.01000 ,5.82000 ,5.11000 ,6.99333 ,5.99667 
4.57333 ,5.32667 ,5.84333 ,5.97333 ,5.75333 ,5.12333 ,7.03667 ,5.93667 
4.56667 ,5.33333 ,5.88000 ,5.93667 ,5.75333 ,5.11667 ,7.00333 ,5.95333 
4.58000 ,5.35667 ,5.85667 ,5.90667 ,5.66333 ,5.12333 ,6.95667 ,5.90000 
4.58667 ,5.35667 ,5.83333 ,5.87000 ,5.70000 ,5.16000 ,6.97000 ,5.84333 
4.50000 ,5.31000 ,5.77667 ,5.88333 ,5.64333 ,5.14667 ,6.93333 ,5.87333 
